,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
37,"frozenset({'Chips', 'Bottled Water'})",frozenset({'Chicken Bowl'}),0.019083969465648856,0.33533260632497275,0.015267175572519083,0.8,2.385691056910569,1.0,0.008867698352576855,3.323336968375137,0.5921345191773207,0.04501607717041801,0.6990976210008204,0.42276422764227645
20,frozenset({'Chips and Tomatillo Red Chili Salsa'}),frozenset({'Chicken Bowl'}),0.025081788440567066,0.33533260632497275,0.015812431842966195,0.6304347826086957,1.880028278543655,1.0,0.0074016903538992665,1.7985117711206622,0.4801357710406542,0.04588607594936709,0.4439847344580376,0.33879462707670555
43,"frozenset({'Chips', 'Canned Soft Drink'})",frozenset({'Chicken Bowl'}),0.03162486368593239,0.33533260632497275,0.019083969465648856,0.6034482758620688,1.7995514437902995,1.0,0.008479121501173163,1.676117775354416,0.4588159588159588,0.054858934169279,0.4033832140533505,0.33017942248387994
18,frozenset({'Chips'}),frozenset({'Chicken Bowl'}),0.1134133042529989,0.33533260632497275,0.06652126499454744,0.5865384615384616,1.7491244527829894,1.0,0.028490086087462202,1.6075676498186706,0.4830722077712581,0.174037089871612,0.37794219726131134,0.3924562226391495
5,frozenset({'Bottled Water'}),frozenset({'Chicken Bowl'}),0.08396946564885496,0.33533260632497275,0.0376226826608506,0.44805194805194803,1.336141906873614,1.0,0.009464982893104799,1.204220925011226,0.27463768115942033,0.09857142857142857,0.16958759042434182,0.28012353500158377
38,"frozenset({'Chicken Bowl', 'Bottled Water'})",frozenset({'Chips'}),0.0376226826608506,0.1134133042529989,0.015267175572519083,0.4057971014492754,3.578037904124861,1.0,0.011000262817090007,1.492060536744953,0.7486847430190205,0.11244979919678715,0.3297859065547178,0.27020624303233
13,frozenset({'Canned Soft Drink'}),frozenset({'Chicken Bowl'}),0.1504907306434024,0.33533260632497275,0.06052344601962922,0.40217391304347827,1.1993283845881937,1.0,0.010058997085227651,1.111807276692773,0.19564236894147025,0.1423076923076923,0.10056354103506081,0.2913308589607635
3,frozenset({'6 Pack Soft Drink'}),frozenset({'Chips and Guacamole'}),0.029443838604143947,0.2584514721919302,0.011450381679389313,0.3888888888888889,1.5046882325363338,1.0,0.0038405782451667227,1.213443045504114,0.34558587479935793,0.04142011834319527,0.17589869281045753,0.21659634317862167
10,frozenset({'Canned Soda'}),frozenset({'Steak Burrito'}),0.05125408942202835,0.18647764449291168,0.019629225736095966,0.3829787234042553,2.0537513997760355,1.0,0.010071483870047058,1.3184672658218328,0.5408045977011494,0.09,0.2415435514231932,0.24412094064949608
49,"frozenset({'Chips and Guacamole', 'Canned Soft Drink'})",frozenset({'Chicken Bowl'}),0.03380588876772083,0.33533260632497275,0.012540894220283533,0.3709677419354839,1.1062680304222396,1.0,0.0012046774306715864,1.0566507284064537,0.09942094415546174,0.035168195718654434,0.05361348540580591,0.20418305795961186
